year,Difficulty_Improvement,Difficulty_Impossibility,Difficulty_Importance
1950.0,0.37112048268318176,0.5093034505844116,0.45313960313796997
1951.0,0.41342660784721375,0.4933232069015503,0.4301539659500122
1952.0,0.34109851717948914,0.524895191192627,0.3923019766807556
1953.0,0.2785989046096802,0.505634069442749,0.3784835934638977
1954.0,0.3120592534542084,0.5374336242675781,0.37444889545440674
1955.0,0.3209911286830902,0.5410256385803223,0.4340876638889313
1956.0,0.35158729553222656,0.5134519338607788,0.41606879234313965
1957.0,0.34607553482055664,0.44579312205314636,0.39891162514686584
1958.0,0.3020460307598114,0.49785321950912476,0.409061074256897
1959.0,0.2555469870567322,0.5266646146774292,0.3615890145301819
1960.0,0.21464985609054565,0.5355114340782166,0.3337637782096863
1961.0,0.29234200716018677,0.5721273422241211,0.409950852394104
1962.0,0.3554295599460602,0.603588879108429,0.45767349004745483
1963.0,0.33738064765930176,0.5670431852340698,0.3569503426551819
1964.0,0.3120993673801422,0.5354890823364258,0.37197303771972656
1965.0,0.33351799845695496,0.5315724611282349,0.4198589622974396
1966.0,0.3378656506538391,0.5366013050079346,0.43251606822013855
1967.0,0.30256444215774536,0.4596374034881592,0.3569468855857849
1968.0,0.23579871654510498,0.49065202474594116,0.3222615122795105
1969.0,0.15565913915634155,0.48863303661346436,0.2663414180278778
1970.0,0.19269484281539917,0.4484974145889282,0.3204288184642792
1971.0,0.21755924820899963,0.5435518026351929,0.38651397824287415
1972.0,0.2903193533420563,0.5470447540283203,0.3513187766075134
1973.0,0.2807912230491638,0.6264021396636963,0.43523675203323364
1974.0,0.27224719524383545,0.5820634961128235,0.4011436998844147
1975.0,0.22468453645706177,0.5562139749526978,0.348100483417511
1976.0,0.25240328907966614,0.5547811985015869,0.3624139130115509
1977.0,0.3460087776184082,0.472517728805542,0.37546131014823914
1978.0,0.3424786329269409,0.5565743446350098,0.4327014982700348
1979.0,0.29516124725341797,0.5522779226303101,0.40821322798728943
1980.0,0.3391944169998169,0.5571621656417847,0.4082973599433899
1981.0,0.2944485545158386,0.5275636911392212,0.45170313119888306
1982.0,0.3065142035484314,0.6425837278366089,0.4030580520629883
1983.0,0.32889342308044434,0.6199837327003479,0.44165316224098206
1984.0,0.3465595245361328,0.5977029204368591,0.4550463557243347
1985.0,0.3313301205635071,0.6143821477890015,0.43615370988845825
1986.0,0.27078747749328613,0.6023328304290771,0.42310118675231934
1987.0,0.3509065508842468,0.5829899907112122,0.45229166746139526
1988.0,0.37613606452941895,0.6019736528396606,0.49781402945518494
1989.0,0.35986828804016113,0.56463223695755,0.46884068846702576
1990.0,0.33060356974601746,0.621976912021637,0.4516226351261139
1991.0,0.3325740694999695,0.631537675857544,0.4399486780166626
1992.0,0.3449942171573639,0.6481590867042542,0.5028789639472961
1993.0,0.3711347281932831,0.6924102306365967,0.5099016427993774
1994.0,0.3731091320514679,0.6025822162628174,0.43789803981781006
1995.0,0.3260885179042816,0.6206798553466797,0.4481043219566345
1996.0,0.33425745368003845,0.5681936740875244,0.406091570854187
1997.0,0.3053715229034424,0.58892822265625,0.4299071133136749
1998.0,0.3187934458255768,0.555116593837738,0.4553307592868805
1999.0,0.333920955657959,0.579325795173645,0.43976831436157227
2000.0,0.35178425908088684,0.5763576030731201,0.45851391553878784
2001.0,0.3356354236602783,0.5564650297164917,0.404288113117218
2002.0,0.31800949573516846,0.5596774220466614,0.4512697458267212
2003.0,0.2662527859210968,0.5636415481567383,0.40193653106689453
2004.0,0.2892911434173584,0.5645663738250732,0.4367749094963074
2005.0,0.34986791014671326,0.5687552094459534,0.4754176735877991
2006.0,0.3375963866710663,0.5847541689872742,0.46696776151657104
2007.0,0.3166355490684509,0.5751902461051941,0.444923460483551
2008.0,0.34557268023490906,0.532879114151001,0.4692407548427582
2009.0,0.31522348523139954,0.5171672701835632,0.42772993445396423
2010.0,0.28126367926597595,0.5220427513122559,0.43800362944602966
2011.0,0.31462961435317993,0.5464421510696411,0.46792078018188477
2012.0,0.29059863090515137,0.5596693754196167,0.3994656801223755
2013.0,0.3217926025390625,0.5644797086715698,0.40810877084732056
2014.0,0.2767992615699768,0.5215739011764526,0.410976767539978
2015.0,0.2798149585723877,0.5288732647895813,0.41484901309013367
2016.0,0.24668064713478088,0.5595703125,0.4002264142036438
2017.0,0.2519758343696594,0.5934409499168396,0.38125330209732056
2018.0,0.2793143093585968,0.5709910988807678,0.4306948781013489
2019.0,0.24240365624427795,0.5096774101257324,0.42303112149238586
2020.0,0.2973775863647461,0.5416799783706665,0.4650033712387085
2021.0,0.2711523771286011,0.6048299074172974,0.3985029458999634
