Year,Word,Frequency,Percentage
1873,urban,6,0.00025056607051430357
1873,choose,491,0.020504656770420508
1873,get,2691,0.11237888262566516
1873,feel,2233,0.0932523392430733
1873,individual,194,0.008101636279962481
1873,self,106,0.004426667245752696
1873,unique,26,0.001085786305561982
1873,child,1677,0.07003321670874785
1873,rural,44,0.0018374845171048927
1873,obliged,0,0.0
1873,give,3991,0.16666819790376425
1873,act,935,0.03904654598847897
1873,obedience,65,0.0027144657639049555
1873,authority,324,0.013530567807772391
1873,belong,358,0.014950442207353446
1873,pray,330,0.013781133878286696
1873,restrain,44,0.0018374845171048927
1873,prevent,258,0.010774341032115053
1873,comply,25,0.0010440252938095983
1873,constrain,17,0.0007099371997905268
1873,uniformity,26,0.001085786305561982
1873,adhere,40,0.001670440470095357
1873,enforce,58,0.002422138681638268
1873,proscribe,3,0.00012528303525715178
1873,abide,46,0.0019210065406096606
1873,dictate,47,0.001962767552362045
1873,circumscribe,4,0.0001670440470095357
1873,impose,119,0.004969560398533687
1873,uphold,23,0.0009605032703048303
1873,discourage,51,0.0021298115993715803
1873,compel,229,0.00956327169129592
1873,forbid,137,0.0057212586100765985
1873,confine,100,0.004176101175238393
1873,govern,126,0.005261887480800375
1873,prohibit,20,0.0008352202350476785
1873,preclude,6,0.00025056607051430357
1873,allow,352,0.014699876136839141
1873,freedom,175,0.007308177056667187
1873,create,185,0.007725787174191026
1873,variability,1,4.1761011752383926e-05
1873,autonomy,4,0.0001670440470095357
1873,openness,3,0.00012528303525715178
1873,leeway,1,4.1761011752383926e-05
1873,flexibility,1,4.1761011752383926e-05
1873,broadmindedness,0,0.0
1873,transformatory,0,0.0
1873,customize,0,0.0
1873,subjectivities,0,0.0
1873,modify,45,0.0018792455288572769
1873,limitless,4,0.0001670440470095357
1873,empower,7,0.0002923270822666875
1873,adaptiveness,1,4.1761011752383926e-05
1873,pluralism,0,0.0
1873,personalize,0,0.0
1873,encourage,79,0.0032991199284383302
1873,diverse,11,0.00045937112927622317
1874,urban,4,0.00022109855025680594
1874,choose,276,0.015255799967719611
1874,get,2275,0.1257498004585584
1874,feel,1450,0.08014822446809217
1874,individual,220,0.012160420264124328
1874,self,49,0.002708457240645873
1874,unique,20,0.0011054927512840298
1874,child,1106,0.06113374914600685
1874,rural,44,0.0024320840528248657
1874,obliged,0,0.0
1874,give,2722,0.15045756344975647
1874,act,513,0.028355889070435365
1874,obedience,35,0.001934612314747052
1874,authority,237,0.013100089102715753
1874,belong,278,0.015366349242848014
1874,pray,137,0.007572625346295604
1874,restrain,51,0.002819006515774276
1874,prevent,198,0.010944378237711896
1874,comply,29,0.001602964489361843
